x_ang,y_ang,z_ang
4.017799999999999727e+01,1.660000000000000142e+01,2.126300000000000168e+01
3.795700000000000074e+01,1.784299999999999997e+01,2.154899999999999949e+01
3.943099999999999739e+01,1.783800000000000097e+01,2.165299999999999869e+01
4.159899999999999665e+01,1.664999999999999858e+01,2.113400000000000034e+01
4.459300000000000352e+01,1.678000000000000114e+01,2.064600000000000080e+01
4.237299999999999756e+01,1.781299999999999883e+01,2.142800000000000082e+01
4.381900000000000261e+01,1.786700000000000088e+01,2.119200000000000017e+01
4.600200000000000244e+01,1.912900000000000134e+01,2.160099999999999909e+01
4.876999999999999780e+00,1.913400000000000034e+01,2.200900000000000034e+01
2.689999999999999947e+00,2.033299999999999841e+01,2.196799999999999997e+01
4.126000000000000334e+00,2.038800000000000168e+01,2.201999999999999957e+01
6.355000000000000426e+00,1.914099999999999824e+01,2.174699999999999989e+01
9.321999999999999176e+00,1.920299999999999940e+01,2.122400000000000020e+01
7.064000000000000057e+00,2.038200000000000145e+01,2.203900000000000148e+01
8.631000000000000227e+00,2.045200000000000173e+01,2.177100000000000080e+01
1.079100000000000037e+01,1.917299999999999827e+01,2.131700000000000017e+01
1.366200000000000081e+01,1.920400000000000063e+01,2.136400000000000077e+01
1.151900000000000013e+01,2.044900000000000162e+01,2.176000000000000156e+01
1.290799999999999947e+01,2.046499999999999986e+01,2.175300000000000011e+01
1.511100000000000065e+01,1.911700000000000088e+01,2.153800000000000026e+01
1.807900000000000063e+01,1.907600000000000051e+01,2.144699999999999918e+01
1.588599999999999923e+01,2.030300000000000082e+01,2.188200000000000145e+01
1.739199999999999946e+01,2.030999999999999872e+01,2.187500000000000000e+01
1.953800000000000026e+01,1.909199999999999875e+01,2.142500000000000071e+01
2.252899999999999991e+01,1.917399999999999949e+01,2.135500000000000043e+01
2.033399999999999963e+01,2.038700000000000045e+01,2.166900000000000048e+01
2.176000000000000156e+01,2.040700000000000003e+01,2.145499999999999829e+01
2.399200000000000088e+01,1.908699999999999974e+01,2.150300000000000011e+01
2.696499999999999986e+01,1.903900000000000148e+01,2.158699999999999974e+01
2.468299999999999983e+01,2.025100000000000122e+01,2.199599999999999866e+01
2.619800000000000040e+01,2.026099999999999923e+01,2.199699999999999989e+01
2.843100000000000094e+01,1.911599999999999966e+01,2.166799999999999926e+01
3.135699999999999932e+01,1.919300000000000139e+01,2.157600000000000051e+01
2.917500000000000071e+01,2.038299999999999912e+01,2.201699999999999946e+01
3.057100000000000151e+01,2.040500000000000114e+01,2.194300000000000139e+01
3.281499999999999773e+01,1.916700000000000159e+01,2.167899999999999849e+01
3.582999999999999829e+01,1.912600000000000122e+01,2.164799999999999969e+01
3.360099999999999909e+01,2.039600000000000080e+01,2.166600000000000037e+01
3.508700000000000330e+01,2.044300000000000139e+01,2.165899999999999892e+01
3.721200000000000330e+01,1.908800000000000097e+01,2.182300000000000040e+01
4.015800000000000125e+01,1.900000000000000000e+01,2.201999999999999957e+01
3.797399999999999665e+01,2.031700000000000017e+01,2.208200000000000074e+01
3.948899999999999721e+01,2.030900000000000105e+01,2.217000000000000171e+01
4.164900000000000091e+01,1.905999999999999872e+01,2.189799999999999969e+01
4.453099999999999881e+01,1.914900000000000091e+01,2.146000000000000085e+01
4.233899999999999864e+01,2.027400000000000091e+01,2.197700000000000031e+01
4.380400000000000205e+01,2.033399999999999963e+01,2.181099999999999994e+01
1.991000000000000103e+00,2.162600000000000122e+01,2.210500000000000043e+01
4.875000000000000000e+00,2.166100000000000136e+01,2.209100000000000108e+01
2.710999999999999854e+00,2.294999999999999929e+01,2.223600000000000065e+01
4.189000000000000057e+00,2.293299999999999983e+01,2.191199999999999903e+01
6.328999999999999737e+00,2.161700000000000088e+01,2.217200000000000060e+01
9.412000000000000810e+00,2.160600000000000165e+01,2.207999999999999829e+01
7.060999999999999943e+00,2.285399999999999920e+01,2.219900000000000162e+01
8.551000000000000156e+00,2.281899999999999906e+01,2.242599999999999838e+01
1.085500000000000043e+01,2.156700000000000017e+01,2.219800000000000040e+01
1.362199999999999989e+01,2.162399999999999878e+01,2.208099999999999952e+01
1.153200000000000003e+01,2.280600000000000094e+01,2.226399999999999935e+01
1.294899999999999984e+01,2.287699999999999889e+01,2.207700000000000173e+01
1.515499999999999936e+01,2.154799999999999827e+01,2.220700000000000074e+01
1.810099999999999909e+01,2.155900000000000105e+01,2.201899999999999835e+01
1.583500000000000085e+01,2.287099999999999866e+01,2.220100000000000051e+01
1.734600000000000009e+01,2.288299999999999912e+01,2.219099999999999895e+01
1.955399999999999849e+01,2.161799999999999855e+01,2.189499999999999957e+01
2.252199999999999847e+01,2.159499999999999886e+01,2.162300000000000111e+01
2.029700000000000060e+01,2.290700000000000003e+01,2.199200000000000088e+01
2.178800000000000026e+01,2.286400000000000077e+01,2.189499999999999957e+01
2.400100000000000122e+01,2.155900000000000105e+01,2.179899999999999949e+01
2.698499999999999943e+01,2.157499999999999929e+01,2.204100000000000037e+01
2.479500000000000171e+01,2.282799999999999940e+01,2.175600000000000023e+01
2.625499999999999901e+01,2.281899999999999906e+01,2.186299999999999955e+01
2.845299999999999940e+01,2.165899999999999892e+01,2.203999999999999915e+01
3.139000000000000057e+01,2.171900000000000119e+01,2.224099999999999966e+01
2.917099999999999937e+01,2.289499999999999957e+01,2.222899999999999920e+01
3.061799999999999855e+01,2.292899999999999849e+01,2.243499999999999872e+01
3.279099999999999682e+01,2.173999999999999844e+01,2.202199999999999847e+01
3.578399999999999892e+01,2.163700000000000045e+01,2.213200000000000145e+01
3.350500000000000256e+01,2.291300000000000026e+01,2.214300000000000068e+01
3.497699999999999676e+01,2.286299999999999955e+01,2.242099999999999937e+01
3.725999999999999801e+01,2.162699999999999889e+01,2.215399999999999991e+01
4.018200000000000216e+01,2.149599999999999866e+01,2.213899999999999935e+01
3.796200000000000330e+01,2.286700000000000088e+01,2.214199999999999946e+01
3.940899999999999892e+01,2.278600000000000136e+01,2.207100000000000151e+01
4.159100000000000108e+01,2.154299999999999926e+01,2.199699999999999989e+01
4.455100000000000193e+01,2.163200000000000145e+01,2.214199999999999946e+01
4.231700000000000017e+01,2.275900000000000034e+01,2.182700000000000173e+01
4.380499999999999972e+01,2.284400000000000119e+01,2.218299999999999983e+01
1.993999999999999995e+00,2.418199999999999861e+01,2.228800000000000026e+01
4.836999999999999744e+00,2.422200000000000131e+01,2.183999999999999986e+01
2.673000000000000043e+00,2.546099999999999852e+01,2.214900000000000091e+01
4.107999999999999652e+00,2.546900000000000119e+01,2.199099999999999966e+01
6.301000000000000156e+00,2.419399999999999906e+01,2.193900000000000006e+01
9.252000000000000668e+00,2.411199999999999832e+01,2.228600000000000136e+01
7.142999999999999794e+00,2.545499999999999829e+01,2.196399999999999864e+01
8.506999999999999673e+00,2.541199999999999903e+01,2.209900000000000020e+01
1.079800000000000004e+01,2.406899999999999906e+01,2.213400000000000034e+01
1.368900000000000006e+01,2.410399999999999920e+01,2.204200000000000159e+01
1.152599999999999980e+01,2.535099999999999909e+01,2.194800000000000040e+01
1.301099999999999923e+01,2.535600000000000165e+01,2.200100000000000122e+01
1.511100000000000065e+01,2.410300000000000153e+01,2.197200000000000131e+01
1.807900000000000063e+01,2.419200000000000017e+01,2.209499999999999886e+01
1.595500000000000007e+01,2.541400000000000148e+01,2.205399999999999849e+01
1.740099999999999980e+01,2.537600000000000122e+01,2.207499999999999929e+01
1.955199999999999960e+01,2.416000000000000014e+01,2.198699999999999832e+01
2.256299999999999883e+01,2.405600000000000094e+01,2.186299999999999955e+01
2.036100000000000065e+01,2.541700000000000159e+01,2.204200000000000159e+01
2.183500000000000085e+01,2.538800000000000168e+01,2.196900000000000119e+01
2.405699999999999861e+01,2.407100000000000151e+01,2.170200000000000173e+01
2.697700000000000031e+01,2.404100000000000037e+01,2.190200000000000102e+01
2.474800000000000111e+01,2.538200000000000145e+01,2.167800000000000082e+01
2.621699999999999875e+01,2.538299999999999912e+01,2.176200000000000045e+01
2.846999999999999886e+01,2.406299999999999883e+01,2.193499999999999872e+01
3.133899999999999864e+01,2.412999999999999901e+01,2.213100000000000023e+01
